,rat,sess,sh,Fs,elec,burst_type,amp_mean,period_mean,rdsym_mean,ptsym_mean,cycling_frac,N_cycles_all,N_cycles_burst,N_seconds,corr_volt_amp_period_r,corr_volt_amp_period_p,corr_volt_amp_time_rdsym_r,corr_volt_amp_time_rdsym_p,corr_volt_amp_time_ptsym_r,corr_volt_amp_time_ptsym_p,corr_period_time_rdsym_r,corr_period_time_rdsym_p,corr_period_time_ptsym_r,corr_period_time_ptsym_p,corr_time_rdsym_time_ptsym_r,corr_time_rdsym_time_ptsym_p,mv_amp_mean,ms_period_mean
523,i01,i01_maze15_MS.002,5,1250,0,3,5810.335554163371,165.15413533834587,0.45570751281753114,0.45448766122771894,0.024408565527978092,10218,266,1439.8552,-0.13911290616817815,0.02325479345368312,-0.09899104150459372,0.10721230834535145,-0.07538136439544872,0.2204293994649204,0.06022553098367227,0.3278214793644859,-0.1314151485297842,0.032151447461825064,-0.17372438484501057,0.004488010064820875,5.8103355541633706,132.1233082706767
524,i01,i01_maze15_MS.002,6,1250,0,0,4439.82837462657,171.20064824818644,0.4244593167548268,0.46788577638747625,0.6162895359419674,10228,6479,1439.8544,0.07587150722084086,9.673657687943434e-10,-0.04317818289041989,0.0005080816779607763,0.04098333558295127,0.0009682616667328374,0.008506012123769573,0.49362905788841815,0.04459143207610227,0.00033022493198476915,-0.15838882642258398,1.1477785169406503e-37,4.43982837462657,136.96051859854916
525,i01,i01_maze15_MS.002,6,1250,0,1,4809.621158492071,168.68024861878453,0.41561808548172485,0.46257121194362055,0.13570761043616633,10228,1448,1439.8544,0.027523724558417596,0.29526429297635104,-0.01684596129249983,0.5218317329512749,0.04188884982464775,0.11109241103577698,-0.009254598016811066,0.7249395994174549,-0.0006905569762046513,0.9790541109230516,-0.1333168781075688,3.5540169529852096e-07,4.809621158492071,134.94419889502763
526,i01,i01_maze15_MS.002,6,1250,0,2,4387.742832183546,173.09317825405122,0.4309564257664716,0.47357528821398287,0.735912742288387,10228,7652,1439.8544,0.0961150489076824,3.580754435133278e-17,-0.04983473913608403,1.2927605466001048e-05,0.02840005261608923,0.012976629957622474,0.01996489876933474,0.08075320158535489,0.024384619208286,0.03292221898044488,-0.1538023637757718,1.0073572114366994e-41,4.387742832183546,138.474542603241
527,i01,i01_maze15_MS.002,6,1250,0,3,4985.066588641711,163.98901098901098,0.42977900773121824,0.4655242157968405,0.02487418172281864,10228,273,1439.8544,0.07636374744550216,0.20846983079217668,-0.028707034810164036,0.6367561864927694,0.08416819129533915,0.1655126414781297,-0.06484476681063059,0.28569227383291235,-0.011394027576998754,0.8513450652227591,-0.12118092443773215,0.04545403608392748,4.985066588641711,131.1912087912088
528,i01,i01_maze15_MS.002,7,1250,0,0,3891.8301371384027,171.24953502789833,0.44510877934533727,0.5102403205388054,0.6138801444107506,10258,6452,1439.8928,0.14257305225988262,1.192575422650618e-30,-0.005220170084788535,0.6750492600778922,0.0396841537906286,0.0014314079585021522,0.08596145613384842,4.6370948407529814e-12,0.0008605278225005339,0.9449036916208884,-0.12777657146801072,6.770325693547433e-25,3.8918301371384025,136.99962802231866
529,i01,i01_maze15_MS.002,7,1250,0,1,4165.001188963545,166.16767270288398,0.43812542256296017,0.501583374970887,0.13765246968385425,10258,1491,1439.8928,0.08293604993226504,0.0013492835639957598,-0.013701831853585433,0.5970438636464159,0.04813488599550925,0.0631444188366082,0.057422341875802245,0.02660629703920203,0.04137112420404173,0.11030438936381495,-0.055338292373447666,0.03262657784021358,4.165001188963545,132.93413816230716
530,i01,i01_maze15_MS.002,7,1250,0,2,3868.281968523723,172.98086800205445,0.452658544916592,0.5131769151615025,0.7484862762005616,10258,7788,1439.8928,0.1583564249263562,6.551692921884993e-45,-0.012587804866556248,0.2666824266229237,0.031451322140120745,0.005506451703144668,0.08465232825414941,7.277076847480335e-14,-0.03163311561020348,0.005240573551428503,-0.12364956543839603,6.4759563938841335e-28,3.868281968523723,138.38469440164354
531,i01,i01_maze15_MS.002,7,1250,0,3,4248.268623094614,161.72434017595307,0.4353718931296726,0.5045513186701682,0.030640058759929905,10258,341,1439.8928,0.0446844792731068,0.4107736485946639,-0.11152047283523045,0.03956898494928913,0.024834220253958005,0.6476854936604809,0.07138872396124521,0.18847114860757763,0.01725896270184831,0.7508182632601209,-0.029914932142669746,0.5819699622184309,4.248268623094614,129.37947214076246
532,i01,i01_maze15_MS.002,8,1250,0,0,5066.120763680177,171.10683436884378,0.41113706081742374,0.4448575319474549,0.6273566140764562,10245,6599,1439.8624,0.01450018275179353,0.23889631160941996,-0.06552951315327936,9.932306407300878e-08,-0.005464839571475097,0.6571501349489856,-0.004928150536966863,0.6889642148939299,0.051748668078922234,2.601777863903934e-05,-0.14949341723272336,2.736989955150156e-34,5.0661207636801775,136.88546749507503
